conversation_id,mentee,mentor,timestamp,has_reply,question_raw,question_clean,corpus_text,in_corpus,raw_len,clean_len,corpus_len
662,Coopercon22,AllyD,2024-09-22T19:37:00Z,False,,,,False,0,0,0
906,FinnDalyyy,Qcne,2025-11-26T01:56:00Z,False,,,,False,0,0,0
1251,Jasim mari,Ritchie333,2025-07-07T09:14:00Z,False,"Jasim mari --[[User:Jasim mari|Jasim mari]] ([[User talk:Jasim mari|talk]]) 09:14, 7 July 2025 (UTC)",Jasim mari,,False,100,10,0
1278,Ree Xuseen xajjin,Ritchie333,2025-09-13T21:16:00Z,False,"Ree xuseen xajjin --[[User:Ree Xuseen xajjin|Ree Xuseen xajjin]] ([[User talk:Ree Xuseen xajjin|talk]]) 21:16, 13 September 2025 (UTC)",Ree xuseen xajjin,,False,134,17,0
1742,Nemtommi,Kvng,2025-07-18T21:02:00Z,True,,,,False,0,0,0
2271,Bitcoin.abaut,Mujinga,2024-12-30T09:32:00Z,True,"@ --[[User:Bitcoin.abaut|Bitcoin.abaut]] ([[User talk:Bitcoin.abaut|talk]]) 09:32, 30 December 2024 (UTC)",@,,False,105,1,0
2343,AAA - UFO HYBRID FOOTBALL GAME & League,Lfstevens,2026-02-13T10:42:00Z,True,"--[[User:AAA - UFO HYBRID FOOTBALL GAME &#38; League|AAA - UFO HYBRID FOOTBALL GAME &#38; League]] ([[User talk:AAA - UFO HYBRID FOOTBALL GAME &#38; League|talk]]) 10:42, 13 February 2026 (UTC)",,,False,193,0,0
2688,Gazi Motalab,Goldsztajn,2023-10-07T20:22:00Z,True,"Gazi Motalab --[[User:Gazi Motalab|Gazi Motalab]] ([[User talk:Gazi Motalab|talk]]) 20:22, 7 October 2023 (UTC)",Gazi Motalab,,False,111,12,0
2827,ToniSheltonLegacy,Goldsztajn,2025-05-27T06:11:00Z,True,"[[User:ToniSheltonLegacy|ToniSheltonLegacy]] ([[User talk:ToniSheltonLegacy|talk]]) 06:11, 27 May 2025 (UTC)",,,False,108,0,0
2929,Skkskssisiis,Alaexis,2025-11-27T14:00:00Z,True,". --[[User:Skkskssisiis|Skkskssisiis]] ([[User talk:Skkskssisiis|talk]]) 14:00, 27 November 2025 (UTC)",.,,False,102,1,0
3483,Director iltija husen,Thriley,2025-09-14T06:15:00Z,False,"Director iltija husen --[[User:Director iltija husen|Director iltija husen]] ([[User talk:Director iltija husen|talk]]) 06:15, 14 September 2025 (UTC)",Director iltija husen,,False,150,21,0
3805,Shah amanat anik,Rosiestep,2025-06-28T09:50:00Z,True,"--[[User:Shah amanat anik|Shah amanat anik]] ([[User talk:Shah amanat anik|talk]]) 09:50, 28 June 2025 (UTC)",,,False,108,0,0
3931,Garik-Gim,Rosiestep,2025-12-12T15:32:00Z,True,,,,False,0,0,0
4207,Virendra Kumar ui50,Pichpich,2026-01-21T16:13:00Z,True,"Virendra Kumar ui50 --[[User:Virendra Kumar ui50|Virendra Kumar ui50]] ([[User talk:Virendra Kumar ui50|talk]]) 16:13, 21 January 2026 (UTC)",Virendra Kumar ui50,,False,140,19,0
4398,Mbeni william,Pichpich,2025-11-06T09:28:00Z,True,"Mbeni william --[[User:Mbeni william|Mbeni william]] ([[User talk:Mbeni william|talk]]) 09:28, 6 November 2025 (UTC)",Mbeni william,,False,116,13,0
4502,Ko aung lwin,Glane23,2024-09-23T14:11:00Z,True,"Ko aung lwin --[[User:Ko aung lwin|Ko aung lwin]] ([[User talk:Ko aung lwin|talk]]) 14:11, 23 September 2024 (UTC)",Ko aung lwin,,False,114,12,0
4578,Lollmao98,Glane23,2025-07-21T15:06:00Z,True,,,,False,0,0,0
4619,Skibiditoiletligmasigmarizzler3252,Glane23,2025-10-23T00:43:00Z,False,,,,False,0,0,0
5315,Haniehaee,Gråbergs Gråa Sång,2025-07-19T04:30:00Z,True,,,,False,0,0,0
5817,Crimson2124,Cullen328,2025-07-18T00:18:00Z,True,,,,False,0,0,0
6241,Sulatipitiri,Nick Moyes,2025-12-30T23:49:00Z,False,"--[[User:Sulatipitiri|Sulatipitiri]] ([[User talk:Sulatipitiri|talk]]) 23:49, 30 December 2025 (UTC)",,,False,100,0,0
6607,WikiRickiLicki,GoingBatty,2024-11-26T00:02:00Z,True,,,,False,0,0,0
6627,Kevinthadeo,GoingBatty,2025-03-15T05:20:00Z,True,"* --[[User:Kevinthadeo|Kevinthadeo]] ([[User talk:Kevinthadeo|talk]]) 05:20, 15 March 2025 (UTC)",,,False,96,0,0
6996,Shrmake,Cyberdog958,2025-12-30T23:41:00Z,True,"0986314949 --[[User:Shrmake|Shrmake]] ([[User talk:Shrmake|talk]]) 23:41, 30 December 2025 (UTC)",0986314949,,False,96,10,0
7448,Interaham,Vis M,2024-08-22T22:04:00Z,True,"{{Strikethrough|Hello can you please add a pushpin map on the [[Massira, Marrakech]] article ? --[[User:Interaham|Interaham]] ([[User talk:Interaham|talk]]) 22:04, 22 August 2024 (UTC)}}",,,False,186,0,0
7461,Mickeydad,Usernamekiran,2026-02-15T15:00:00Z,False,"Mickeydad --[[User:Mickeydad|Mickeydad]] ([[User talk:Mickeydad|talk]]) 15:00, 15 February 2026 (UTC)",Mickeydad,,False,101,9,0
8044,Kiranprince045,Chlod,2025-09-21T00:43:00Z,False,"Kiranprince045 --[[User:Kiranprince045|Kiranprince045]] ([[User talk:Kiranprince045|talk]]) 00:43, 21 September 2025 (UTC)",Kiranprince045,,False,122,14,0
8109,NAJI SALIH,Ganesha811,2025-04-05T01:17:00Z,True,"--[[User:NAJI SALIH|NAJI SALIH]] ([[User talk:NAJI SALIH|talk]]) 01:17, 5 April 2025 (UTC)",,,False,90,0,0
8562,Cookieswift657,Alpha3031,2025-07-18T03:18:00Z,True,,,,False,0,0,0
9894,Akumkaba,Alextejthompson,2024-01-17T17:41:00Z,False,"Akumkaba --[[User:Akumkaba|Akumkaba]] ([[User talk:Akumkaba|talk]]) 17:41, 17 January 2024 (UTC)",Akumkaba,,False,96,8,0
10009,Mujittapha tasiu,Alextejthompson,2025-01-08T09:25:00Z,False,"Mujittapha tasiu --[[User:Mujittapha tasiu|Mujittapha tasiu]] ([[User talk:Mujittapha tasiu|talk]]) 09:25, 8 January 2025 (UTC)",Mujittapha tasiu,,False,127,16,0
10248,Nanywa,PerfectSoundWhatever,2023-11-26T09:12:00Z,False,,,,False,0,0,0
11303,MAMQS,Shushugah,2025-04-30T23:52:00Z,False,". --[[User:MAMQS|MAMQS]] ([[User talk:MAMQS|talk]]) 23:52, 30 April 2025 (UTC)",.,,False,78,1,0
11514,Donn Fretz,Aaron Liu,2025-05-17T14:14:00Z,True,"[[File:Emperor Charles I of Austria.jpg|thumb|left|upright|Hi Aaron. Do you know whether this picture is a photo or a drawing? I you don’t know, how do I verify which it is?]]
--[[User:Donn Fretz|Donn Fretz]] ([[User talk:Donn Fretz|talk]]) 14:14, 17 May 2025 (UTC)",,,False,265,0,0
11550,Parvin joon Naficy,Aaron Liu,2025-07-21T04:55:00Z,True,,,,False,0,0,0
11746,Arpit Galohda,Dreamy Jazz,2022-02-08T11:01:00Z,True,,,,False,0,0,0
11838,Basanta(tmt),Idoghor Melody,2025-03-18T15:23:00Z,True,"basanta(tmt) --[[User:Basanta(tmt)|Basanta(tmt)]] ([[User talk:Basanta(tmt)|talk]]) 15:23, 18 March 2025 (UTC)",basanta(tmt),,False,110,12,0
13020,NativeEnglishman,TheSandDoctor,2023-10-30T12:40:00Z,False,"[[User:NativeEnglishman|NativeEnglishman]] ([[User talk:NativeEnglishman|talk]]) 12:40, 30 October 2023 (UTC)",,,False,109,0,0
13212,Alpha-i Filmworks Limited,IAmChaos,2025-12-27T17:25:00Z,False,"Alpha-i Filmworks Limited --[[User:Alpha-i Filmworks Limited|Alpha-i Filmworks Limited]] ([[User talk:Alpha-i Filmworks Limited|talk]]) 17:25, 27 December 2025 (UTC)",Alpha-i Filmworks Limited,,False,165,25,0
13880,Syed Shoaib Ahmad bukhari,Bsoyka,2025-03-04T07:59:00Z,False,"Syed Shoaib Ahmad bukhari --[[User:Syed Shoaib Ahmad bukhari|Syed Shoaib Ahmad bukhari]] ([[User talk:Syed Shoaib Ahmad bukhari|talk]]) 07:59, 4 March 2025 (UTC)",Syed Shoaib Ahmad bukhari,,False,161,25,0
14620,Sheikh Ali Rasheed Al Maktoum,Jenhawk777,2024-06-24T01:39:00Z,True,,,,False,0,0,0
14769,Ultra girl 12,Ser!,2023-08-06T00:01:00Z,False,". --[[User:Ultra girl 12|Ultra girl 12]] ([[User talk:Ultra girl 12|talk]]) 00:01, 6 August 2023 (UTC)",.,,False,102,1,0
15533,Sannimudi,Michael D. Turnbull,2025-10-29T07:04:00Z,True,"Sannimudi --[[User:Sannimudi|Sannimudi]] ([[User talk:Sannimudi|talk]]) 07:04, 29 October 2025 (UTC)",Sannimudi,,False,100,9,0
16837,Sarfarajshadiwan1,Pickersgill-Cunliffe,2024-02-20T05:44:00Z,True,"Sarfarajshadiwan1 --[[User:Sarfarajshadiwan1|Sarfarajshadiwan1]] ([[User talk:Sarfarajshadiwan1|talk]]) 05:44, 20 February 2024 (UTC)",Sarfarajshadiwan1,,False,133,17,0
17499,Aneesjameel,HouseBlaster,2024-10-30T18:32:00Z,True,"--[[User:Aneesjameel|Aneesjameel]] ([[User talk:Aneesjameel|talk]]) 18:32, 30 October 2024 (UTC)",,,False,96,0,0
17526,Tikaram Saud,HouseBlaster,2025-02-01T14:23:00Z,True,"Tikaram Saud --[[User:Tikaram Saud|Tikaram Saud]] ([[User talk:Tikaram Saud|talk]]) 14:23, 1 February 2025 (UTC)",Tikaram Saud,,False,112,12,0
17606,Ljohnston931,Robertjamal12,2025-07-19T04:02:00Z,False,,,,False,0,0,0
17860,Sharmaji8,Lajmmoore,2025-08-17T14:15:00Z,False,{{Clear}},,,False,9,0,0
17993,Writer Maina Gam,Ferien,2025-09-07T17:14:00Z,False,"Writer Maina Gam --[[User:Writer Maina Gam|Writer Maina Gam]] ([[User talk:Writer Maina Gam|talk]]) 17:14, 7 September 2025 (UTC)",Writer Maina Gam,,False,129,16,0
18075,GAI.waleed,Ferien,2026-01-20T06:08:00Z,True,"{{redacted}} --[[User:GAI.waleed|GAI.waleed]] ([[User talk:GAI.waleed|talk]]) 06:08, 20 January 2026 (UTC)",,,False,106,0,0
18751,Hyderabad Ki Awaaz News,Estar8806,2025-12-25T14:06:00Z,False,"Hyderabad ki Awaaz News'' --[[User:Hyderabad Ki Awaaz News|Hyderabad Ki Awaaz News]] ([[User talk:Hyderabad Ki Awaaz News|talk]]) 14:06, 25 December 2025 (UTC)",Hyderabad ki Awaaz News,,False,159,23,0
18766,KHUSHIail295,Kline,2024-08-21T16:51:00Z,False,"‪KHUSHIail295‬ --[[User:KHUSHIail295|KHUSHIail295]] ([[User talk:KHUSHIail295|talk]]) 16:51, 21 August 2024 (UTC)

{{Clear}}",KHUSHIail295,,False,124,12,0
19087,PRIDE KASHITA,JavaHurricane,2023-09-13T23:47:00Z,False,"pride kashita --[[User:PRIDE KASHITA|PRIDE KASHITA]] ([[User talk:PRIDE KASHITA|talk]]) 23:47, 13 September 2023 (UTC)",pride kashita,,False,118,13,0
19260,Anaman12321,Dege31,2025-07-18T05:27:00Z,True,,,,False,0,0,0
19728,Fundzy,Scaledish,2025-07-23T18:15:00Z,True,,,,False,0,0,0
20815,HelenWiseman,Sirdog,2023-11-12T03:09:00Z,True,,,,False,0,0,0
20891,Pio2890,Sunny Cryolite,2025-07-18T04:38:00Z,True,,,,False,0,0,0
20979,Akib Hayat,Tails Wx,2024-02-03T18:18:00Z,False,"--[[User:Akib Hayat|Akib Hayat]] ([[User talk:Akib Hayat|talk]]) 18:18, 3 February 2024 (UTC)",,,False,93,0,0
21373,MONEYDWILLIAMS,Blaze Wolf,2024-05-14T03:50:00Z,False,"{{moved to|Talk:Drake–Kendrick_Lamar_feud}} [[User:Rusty4321|<span style=""background-color:#272;color:#ff0"">'''Rusty4321'''</span>]]&nbsp;<sup>[[User talk:Rusty4321|talk]]&nbsp;[[Special:Contribs/Rusty4321|contribs]]</sup> 03:52, 17 May 2024 (UTC)",,,False,247,0,0
21837,Sabirul Hoque,MPGuy2824,2022-11-21T11:48:00Z,True,"Sabirul Hoque --[[User:Sabirul Hoque|Sabirul Hoque]] ([[User talk:Sabirul Hoque|talk]]) 11:48, 21 November 2022 (UTC)",Sabirul Hoque,,False,117,13,0
22048,The Page Pilot,MPGuy2824,2025-07-26T10:44:00Z,False,,,,False,0,0,0
22060,Samilover1,MPGuy2824,2025-08-30T03:45:00Z,True,"6-9-2004 --[[User:Samilover1|Samilover1]] ([[User talk:Samilover1|talk]]) 03:45, 30 August 2025 (UTC)",6-9-2004,,False,101,8,0
22080,রাজকুমার রাজপুত্র,DanCherek,2023-09-10T12:17:00Z,True,"--[[User:রাজকুমার রাজপুত্র|রাজকুমার রাজপুত্র]] ([[User talk:রাজকুমার রাজপুত্র|talk]]) 12:17, 10 September 2023 (UTC)",,,False,116,0,0
22217,Xhebs1992,DanCherek,2023-06-07T22:26:00Z,True,"[[User:Xhebs1992|Xhebs1992]] ([[User talk:Xhebs1992|talk]]) 22:26, 7 June 2023 (UTC)",,,False,84,0,0
22287,Abduh absi,Sungodtemple,2021-10-10T14:51:00Z,True,"--[[User:Abduh absi|Abduh absi]] ([[User talk:Abduh absi|talk]]) 14:51, 10 October 2021 (UTC)",,,False,93,0,0
22302,Wipa0404,Sungodtemple,2022-02-19T07:12:00Z,True,"* --[[User:Wipa0404|Wipa0404]] ([[User talk:Wipa0404|talk]]) 07:12, 19 February 2022 (UTC)",,,False,90,0,0
22534,Mamun Tata,Sungodtemple,2024-10-27T14:10:00Z,False,"Mamun Tata --[[User:Mamun Tata|Mamun Tata]] ([[User talk:Mamun Tata|talk]]) 14:10, 27 October 2024 (UTC)",Mamun Tata,,False,104,10,0
22662,Permafrost06,Sungodtemple,2025-07-19T08:54:00Z,True,,,,False,0,0,0
22737,ScrollLoopweb.svg,Sungodtemple,2025-12-08T10:49:00Z,False,"ScrollLoopweb.svg --[[User:ScrollLoopweb.svg|ScrollLoopweb.svg]] ([[User talk:ScrollLoopweb.svg|talk]]) 10:49, 8 December 2025 (UTC)",ScrollLoopweb.svg,,False,132,17,0
22848,AbuUbada,Qwerfjkl,2022-04-17T02:25:00Z,True,"‌ --[[User:AbuUbada|AbuUbada]] ([[User talk:AbuUbada|talk]]) 02:25, 17 April 2022 (UTC)",,,False,87,0,0
23881,Urjii Bayaan,Barnards.tar.gz,2024-09-03T02:57:00Z,False,"* --[[User:Urjii Bayaan|Urjii Bayaan]] ([[User talk:Urjii Bayaan|talk]]) 02:57, 3 September 2024 (UTC)",,,False,102,0,0
24096,Saud9900,DreamRimmer,2023-08-08T23:58:00Z,False,"--[[User:Saud9900|Saud9900]] ([[User talk:Saud9900|talk]]) 23:58, 8 August 2023 (UTC)

{{Clear}}",,,False,96,0,0
24166,Sarthak Sai Mohapatra,GGOTCC,2025-07-21T05:06:00Z,True,,,,False,0,0,0
